time,noise
2020-04-11,139.09900000000005
2020-04-12,218.441
2020-04-13,1027.4959999999955
2020-04-14,1038.0539999999962
2020-04-15,877.0589999999967
2020-04-16,1217.5839999999926
2020-04-17,833.109999999997
2020-04-18,268.771
2020-04-19,277.9149999999998
2020-04-02,450.49199999999956
2020-04-20,731.8819999999971
2020-04-21,639.7309999999982
2020-04-22,500.5289999999998
2020-04-23,685.0829999999976
2020-04-24,555.2139999999989
2020-04-25,322.8269999999999
2020-04-26,351.82399999999967
2020-04-27,792.8939999999972
2020-04-28,708.3569999999972
2020-04-29,668.3669999999983
2020-04-03,383.62199999999984
2020-04-30,1320.9139999999904
2020-04-04,158.73800000000003
2020-04-05,155.06000000000006
2020-04-06,404.86499999999995
2020-04-07,417.7889999999996
2020-04-08,438.9679999999995
