time,noise
2020-04-15,263.742
2020-04-16,346.55599999999976
2020-04-17,314.45599999999996
2020-04-18,127.20600000000002
2020-04-19,151.33800000000002
2020-04-02,276.31199999999984
2020-04-20,323.47499999999985
2020-04-21,332.641
2020-04-22,562.3529999999994
2020-04-23,377.1069999999998
2020-04-24,715.2189999999974
2020-04-25,313.8089999999996
2020-04-26,302.3009999999998
2020-04-27,568.2449999999993
2020-04-28,484.61199999999997
2020-04-29,1045.6019999999949
2020-04-03,258.99399999999997
2020-04-30,832.3919999999962
2020-04-04,130.362
2020-04-05,138.247
2020-04-06,266.916
2020-04-07,285.13799999999986
2020-04-08,260.2200000000001
2020-04-09,252.00100000000003
2020-05-01,416.9069999999996
2020-05-10,138.80599999999998
2020-05-11,287.8179999999998
2020-05-12,333.9429999999998
